account,date,daily_pnl,trade_count,win_rate,avg_position_size
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,462,0.025974025974025976,14810.891818181817
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,3356,0.40554231227651966,16345.241939809297
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,320,0.53125,2492.74990625
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,3533,0.43504104160769885,1693.3516841211435
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-06-15,10179.147366,3427,0.44236941931718704,1533.4683950977533
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,5,0.0,6070.2
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,5,0.8,31941.660000000003
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,1136,0.43045774647887325,10836.90096830986
0x271b280974205ca63b716753467d5a371de622ab,2025-06-15,-102199.279749,2663,0.246714232069095,8025.783559894856
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,6472,0.4437577255871446,483.5901143386898
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,6794,0.4327347659699735,533.2378127759788
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-15,149.33286900000002,45,0.5777777777777777,97.98177777777778
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,763,0.4744429882044561,2941.8256880733943
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,2471,0.5337919870497774,3205.000631323351
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-06-15,30.02094,5,0.6,542.1279999999999
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,3,0.0,159.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,2,0.0,23066.935
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,27,0.3333333333333333,3048.5944444444444
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,80,0.1,767.24775
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,156,0.46794871794871795,2583.170064102564
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677108,349,0.2636103151862464,1648.5575358166188
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-06-15,-3499.0325470000002,198,0.9545454545454546,1218.5765151515152
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,34983.381862,144,0.5277777777777778,4554.800138888889
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-20526.462526,3445,0.3193033381712627,4800.430827285922
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,7612.618288,191,0.41361256544502617,2786.4265445026176
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,45883.628955,141,0.5602836879432624,4338.219787234042
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859,125,0.216,6480.62816
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.024142,258,0.2441860465116279,4563.756162790698
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,88,0.0,1136.3127272727272
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374,249,0.9518072289156626,1759.9534939759035
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.518105,43,0.8837209302325582,6742.71976744186
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,110527.905862,671,0.4828614008941878,2807.6623994038746
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-06-15,0.0,186,0.0,1365.6282795698924
